"","x"
"3340","nagging muscle pain   just   shoulder blades"
"3341","persistent fatigue"
"3342","moderate insomnia"
"3343","unable  focus"
"3344","minor joint soreness"
"3345","right knee always swollen"
"3346","right knee always sore"
"3347","glucosamine"
"3348","joint soreness"
"3349","severe weight loss"
"3350","labyrinthitis"
"3351","irretractable lower back pain"
"3352","periorbital edema"
"3353","lack  libido"
"3354","detachment"
"3355","severe muscle aces"
"3356","headace"
"3357","collapades   floor"
"3358","bleed"
"3359","muscle aces"
"3360","severe headaces"
"3361","forget things   time"
"3362","direar"
"3363","calf cramps"
"3364","toe cramps"
"3365"," sore muscle pain   shoulders"
"3366","heart palpatations"
"3367","sore knees"
"3368","felt like  truck hit "
"3369","severe muscle pain   shoulders"
"3370","numbness  tingling   hands"
"3371","wieght gain"
"3372","extremly bad pains  arms"
"3373","extremly bad pains  shoulders"
"3374","extremly bad pains  hands"
"3375"," bad pains  arms"
"3376"," bad pains  shoulders"
"3377"," bad pains  hands"
"3378","freezing cold,like arms plunged  freezing water, burning sensations"
"3379","terribe pain"
"3380","horrible gas"
"3381","high c-reactive protein level"
"3382","this    disease     reason  patient  taking  drug."
"3383","bone cancer"
"3384","eczema  feet"
"3385","eczema  hands"
"3386","rash  upper left torso"
"3387","eczema"
"3388","gaining excess weight"
"3389","stomach  bloated,  excess gas"
"3390","increased memory loss"
"3391","rarely sleep well"
"3392","extreme muscle pain"
"3393","felt like i  walking though sludge"
"3394"," wanted  sleep"
"3395","trouble   liver"
"3396","edema-swelling   hands, feet, legs"
"3397","lasiks"
"3398","itchiness"
"3399","coronary problems"
"3400","severe fatigue in my body"
"3401","muscle pains in my hips"
"3402","felt like i  aged  eighty years old overnight"
"3403","feeling   age caught   "
"3404","i  eighty years old"
"3405","eighty years old feeling"
"3406","plavix"
"3407","zestril"
"3408","lopressor"
"3409","pain behind  knee"
"3410","pain   fingers"
"3411","tingling   fingers"
"3412","major sharp pain   side"
"3413","  smoke   never smoked"
"3414","genetically high ldl"
"3415","terrible, migratory joint pain    body"
"3416","disabling fatigue"
"3417","flu-like malaise"
"3418","quite ill"
"3419","rheumatoid arthriitis"
"3420","active parvovirus infection"
"3421","spasms  upper thighs"
"3422","right knee   painful"
"3423","hurts  get    chair"
"3424","hurts  go  stairs"
"3425","hurts  get    morning"
"3426","right foot hurts"
"3427","bottom   foot  extremely tender"
"3428","extremely tender calves"
"3429","liver injury"
"3430","kidney injury"
"3431","lipitor (atorvastatin)"
"3432","muscle pain   calves"
"3433","muscle pain   lower back"
"3434","tenderness   calves"
"3435","tenderness   lower back"
"3436","weakness   calves"
"3437","weakness   lower back"
"3438","acute kidney failure"
"3439","liver failure"
"3440","generalized skin discoloration"
"3441","overweight"
"3442","partial blockage   heart"
"3443","skin itching sensations   body"
"3444","severe b/l shoulder pain"
"3445","b/l shoulder pain"
"3446","steroid shots"
"3447","slight linear tear"
"3448","sinivastatin"
"3449","severe elbow pain"
"3450","general fatigue"
"3451","severe swolen/inflamation   fingers/hands"
"3452","geneal aches  pains"
"3453","severe swolen/inflamation   fingers/hand"
"3454","aching  legs"
"3455","aching  back"
"3456","aching  shoulders"
"3457"," back weakness"
"3458"," shoulders weakness"
"3459"," legs weakness"
"3460","knees aches"
"3461","chest aches"
"3462","short term memory lacking"
"3463","concentration  worse  ever"
"3464","hair loss (diffuse alopecia)"
"3465","type 1 diabetes"
"3466","olmetec(olmesartan)"
"3467","istin(amlodipine)"
"3468","lipitor(atorvastatin)"
"3469","hair  started falling "
"3470","thinning   back  sides   head"
"3471","losing  hair"
"3472"," bad pain   muscles"
"3473","acne breakouts   face  neck"
"3474","severe leg pains"
"3475","severe foot pains"
"3476","memeory problems"
"3477","feel   i  90 years old"
"3478","pain trying  walk"
"3479","tiredeness"
"3480","hip thigh pain"
"3481","cold extremities"
"3482","inability  sleep"
"3483","fuzzy"
"3484","light-headedness feeling"
"3485","low grade headache"
"3486","mild insomnia"
"3487","noise intolerance"
"3488","feet joint pain similar  arthritis"
"3489","finger joint pain similar  arthritis"
"3490","leg joint pain similar  arthritis"
"3491","planta fasciitis similarities"
"3492","big weight gain  stomach area"
"3493","never felt  old   life"
"3494","plantar fasciatis"
"3495","slight neck pain"
"3496","pain   legs"
"3497","unable  climb stairs"
"3498","unable  stand"
"3499","extrem pain  knee joints"
"3500","failed knee joits"
"3501","severe pains   arms"
"3502","myopathy"
"3503","cozaar"
"3504","bisoprolol"
"3505","heart rythm"
"3506","massive triangular rash   forehead"
"3507","patch  one cheek"
"3508","skin   red  rough"
"3509","could  get  sleep"
"3510","i  feel right"
"3511","intermittent pain"
"3512","pain   leg"
"3513","elevated liver function"
"3514","inability  pull   bed"
"3515","felt like i  coming   flu"
"3516","muscle pain  right hip"
"3517","flu-like symtoms"
"3518","- muscle pain"
"3519","diarrea"
"3520","flu symptoms"
"3521","bad taste  mouth"
"3522","hair losss"
"3523"," i went  sit  instead  sitng normaly i  almost fall    chair  control  strength, upon getting  i   hold   something  get "
"3524","no stopping action going  hill"
"3525","arms  little   grip"
"3526","hands,  little   grip"
"3527","burning sensations"
"3528","frequent urination"
"3529","hard time sleeping"
"3530","extreme muscle aches"
"3531","asthma flare-ups"
"3532","ached  , especially  legs"
"3533","extreme pain in shoulders"
"3534","extreme pain in neck"
"3535","inability to function"
"3536","zoned out"
"3537","sick to my stomach"
"3538","cramping   calves"
"3539","like im   fog   time"
"3540","type ii diabetic"
"3541","unsteasiness walking"
"3542","acute pain   feet"
"3543","weakness  knees"
"3544","general weakness  hands"
"3545","declining physical ability"
"3546","joint pain (elbows!)"
"3547","buzzing left leg"
"3548","high tolerance  pain"
"3549","feel like i've aged 20 years"
"3550","short-term memory disappeared"
"3551","lack  attention"
"3552","vivid nightmares"
"3553","fingers swelled "
"3554","joints   hands hurt"
"3555","hurt  bend  knee"
"3556","lost  lot  muscle  replacedit  fat"
"3557","dioreaha"
"3558","muscle pain just  shoulder blades"
"3559","muscle pain  back"
"3560","doesnt sleep  well  night"
"3561","gets tired  lot"
"3562","excruciating pain in neck"
"3563","excruciating pain in shoulders"
"3564","felt just strange"
"3565","hideous constant pain"
"3566","legs feel swollen"
"3567","legs feel tired"
"3568","neck  shoulders  sore   time"
"3569","neck  shoulders ache"
"3570","felt like  shark biting   right calf"
"3571","feeling paralyzed    body"
"3572","  i  rigor mortis    resurrected  death ( exaggeration)"
"3573","destroyed  sex life"
"3574","destroyed  self-confidence"
"3575","achilles tendonsitis"
"3576","weakness  upper arm muscles"
"3577","arthritis like symptoms  hands"
"3578","swelling  ankles"
"3579","increased fatigue"
"3580","occasional leg cramps"
"3581","right hand tremor"
"3582","affected gait--small steps"
"3583","hunched  position"
"3584","slowness  movement"
"3585","neurodegenerative disease"
"3586","neuro symptoms"
"3587","parkinson/s"
"3588","alzheimer's"
"3589","neurodegenerative diseases"
"3590","advicor"
"3591","navicor"
"3592","taking one's appetite  sex away"
"3593","pain  upper right arm"
"3594","pain   arm  shoulder"
"3595","no drinking"
"3596","no smoking"
"3597","everything hurts"
"3598","tunnel vision"
"3599","numbness hands"
"3600","tingling legs"
"3601","tingling face"
"3602","numbness legs"
"3603","numbness face"
"3604","complete weakness   right side   body"
"3605","complete body flushes (like  hot flash without  hot)"
"3606","thought  i    stroke"
"3607","tia"
"3608","body flushes"
"3609","brain aneurysm"
"3610","muscular pain   back"
"3611","diarreah"
"3612","muscle aches & pains"
"3613","temporal lobe epilepsy"
"3614","severe back spasms"
"3615","intense pain   knees"
"3616","spasms  throughout  legs"
"3617","weakness   right arm"
"3618","feeling like i  walking  waist-deep mud"
"3619","i simply   walk"
"3620","extreme anxiety"
"3621","blinding headaches"
"3622","feel pretty lousy"
"3623","colin cancer"
"3624","liver enzymes  rise"
"3625","severe joint pain   knees"
"3626","severe joint pain   shoulders"
"3627","pain   hands"
"3628","cramping   lower legs"
"3629","cramping   hands"
"3630","numbness     toes"
"3631","numbness     finger tips"
"3632","wake      night long"
"3633","shoulders  still  messed "
"3634","constint shoulder pain"
"3635","finger numbness"
"3636","hand numbness"
"3637","severe pain   calfs"
"3638","severe pain   thighs"
"3639","unable  lift  legs"
"3640","unable  get   car"
"3641","discomfort   legs"
"3642","unable  put   pants"
"3643","  knees joint pain"
"3644","knees hurt"
"3645","sleepy    sf  time"
"3646","muscle disintegration/degeneration"
"3647","grossly excessive amount  muscle tissue   blood"
"3648","severe pain   feet"
"3649","decrease  muscle strength"
"3650","loss of memory"
"3651","severe edema  lower extremities"
"3652","numbness  left side"
"3653","poor coordination  walking (kept bumping  things)"
"3654","light-headedness (hurt  hold  head   turn  head  side  side   made driving real difficult)"
"3655","edema"
"3656","loss  muscle strenth, mainly calves"
"3657","feel like  airhead"
"3658","slightly dizzy virtually   time"
"3659","frequently unable  think clearly"
"3660","severe pain   knees"
"3661","exhausted   time"
"3662","severe chronic fatigue"
"3663","problems  concentration"
"3664","unable  find words  remember names"
"3665","hardly able  lift things"
"3666","legs  go wobbly"
"3667","exhausting"
"3668","thought i   flu"
"3669","stiffness   legs"
"3670","stiffness  hips"
"3671","weakness  hips"
"3672","pain  hips"
"3673","slight muscle aches   back"
"3674","cramping neck muscels"
"3675","arm weakness"
"3676","total muscel weakness"
"3677","  walk  three weeks"
"3678","excessive sleep"
"3679","memory (sht term)loss"
"3680","loss  sex drv"
"3681","toe neuropathy"
"3682"," foot problems"
"3683","feet  terrible"
"3684","simvistatin"
"3685","lipex"
"3686"," walk even  short distance due  pain"
"3687","legs felt like   run  marathon"
"3688","deep bruising"
"3689","joint pain  hips"
"3690","joint pain  elbows"
"3691","joint pain  spine"
"3692","felt like  old woman"
"3693","bursitis   hips"
"3694"," walk   5 yards"
"3695","bezalip"
"3696","achilles peritendonitis"
"3697","sore fingers"
"3698"," gait  like someone   barely walk"
"3699","pain  throat"
"3700","tingling  side  face"
"3701","loss  reason  live"
"3702","abdominal irritation"
"3703","sensation  feels like electricity zapping around  midsection"
"3704","feeling   fog"
"3705","muscle weakness  mouth area"
"3706","speech difficulties like pronunciation"
"3707","chewing/swallowing difficulties like biting  tongue  inside  cheek"
"3708","muscle weakness   right hand causing   lose grip  drop things"
"3709","balance problems  turning around  standing  walking movements"
"3710","lack  sex drive"
"3711","severe leg muscle pains"
"3712","neuroma   right foot"
"3713","left heel pain"
"3714","discomfort  i walk"
"3715","vit. c"
"3716","severe pain   left arm"
"3717","pain   arm"
"3718","tingling   arms"
"3719","lost  strength"
"3720"," use  arm"
"3721","burning feet  toe area"
"3722","numb feet  toe area"
"3723","discomfort  right side upper  lower  stomach area"
"3724","neurophathy"
"3725","extreme gas"
"3726","miocardial infarction"
"3727","pain  unbearable"
"3728","pain   headache"
"3729","sharp pain   ball   right foot"
"3730","neuroma"
"3731","metatarsalgia"
"3732","left foot started hurting"
"3733","horrible pain"
"3734","severe limitation  movement  upper arm muscles"
"3735","parkinson's-type tremor  left hand"
"3736","worsening  gum disease"
"3737","loss  muscel strength"
"3738","loss  sexual drive"
"3739","zombie like doped  state"
"3740","halucinations  day"
"3741","reduced mental capabiities"
"3742","excessive sleep requirements"
"3743","transient global amnesia"
"3744","feeling horrible like  severe flu just hit "
"3745"," get enough sleep"
"3746"," incredibly week"
"3747"," pains throughout  upper body"
"3748","difficulty in walking"
"3749","affected my balance"
"3750","hair  falling "
"3751","  lose weight even exercising  eating healthy food"
"3752","fluids pooling   lower extremeties - especially  feet"
"3753","general muscle soreness"
"3754","aches  hands"
"3755","back soreness"
"3756","ears ringing"
"3757","feel bad"
"3758","heart attack symptoms"
"3759","neuropothy  right arm"
"3760","neuropothy  right hand"
"3761","extreme constant pain"
"3762","fuzzy headed"
"3763","angina attacks"
"3764","totally disabled"
"3765","severe pain  left leg"
"3766","severe pain  buttocks"
"3767","sciatica like symptoms"
"3768","sudden onset  pain"
"3769","sudden knee pain"
"3770","horriable crippeling pain hit  knees   moment"
"3771","lumpy swelling   feet   place  "
"3772","sudden horriable grabbing pain  one ankle"
"3773","stumbeling"
"3774","frequent sudden urges  go pee  came    force  sprayed everywhere"
"3775","horriable pain   different joint"
"3776","burscitis"
"3777","sudden grabbing pain  ankle"
"3778","horriable pain  almost throws  "
"3779","loss  muscle"
"3780","liver disfunction"
"3781","inability  walk  left foot pain"
"3782","overall loss  muscle tone"
"3783","unable  control weight"
"3784","restless leg syndrom"
"3785","high triglycerides"
"3786","feel flu like"
"3787","cramps  chest"
"3788","rashes appear"
"3789","sleep  heavily"
"3790","sleep alot"
"3791","feel fatigued"
"3792","gums swelling"
"3793","visual anomalies"
"3794","numbness  muscles"
"3795","soreness  mucous membrane areas"
"3796","short term memory"
"3797","legs just ached"
"3798","hurt   ankles   hips"
"3799","severe pain close    crotch area"
"3800","could barely move"
"3801"," barely walk;  use  cane"
"3802","enlarged liver"
"3803","muscles  become weak  stressed"
"3804","terrible charlie horses"
"3805","neck glands hurt"
"3806","symptoms  als"
"3807","severe muscle pain - especially  lower calfs   legs"
"3808","hard time walking"
"3809","weak heart muscle"
"3810","lower legs   hurting"
"3811","leg muscle inflamed"
"3812","much fatigue"
"3813","loss body balance"
"3814","lost  body balance"
"3815","lost  memory"
"3816","b3"
"3817","pain   lower part   knees"
"3818","mental fog"
"3819","geting bad swets"
"3820","extreme pain  legs"
"3821","extreme pain  back"
"3822","finger stiffness"
"3823","finger joints locking "
"3824","locking fingers"
"3825","tendon ruptures"
"3826","tendon weakness"
"3827","elevated levels  triglycerides"
"3828","elevated levels  cholesterol"
"3829","tore  right achilles tendon just simply taking    sprinters stance"
"3830","tore  left achilles tendon  simply jumping   air"
"3831","tendon damage/ruptures"
"3832","abdominal distention - feel full"
"3833","back pain   "
"3834","weird tight feeling   head"
"3835","loss  muscle strength"
"3836","sores   inner cheeks"
"3837","weird tight feeling  chest cavity"
"3838","tryc   roof"
"3839","mild aches"
"3840","occasional indigestion"
"3841","extreme ache  left leg"
"3842","extreme ache  left arm"
"3843","arm aching"
"3844","ache  extreme, almost unbearable"
"3845","aching pain across  shoulders"
"3846","shrinking muscels leg"
"3847","shrinking muscels arms"
"3848","shrinking muscels neck"
"3849","vertgo"
"3850","convusing neck muscels"
"3851","loss  memory"
"3852","halucinations"
"3853","little circulation in my fingers"
"3854","ulcerations"
"3855","muscles pain"
"3856","trazadone"
"3857","testonrone"
"3858","thyroid"
"3859","feel drugged"
"3860","shoulder pain  unbearable"
"3861"," serious depression"
"3862","thoughts  hurting "
"3863","  lie  either side  bed"
"3864","periphael neuropathy"
"3865","tinninitus"
"3866","trigeminal neuralgis"
"3867","strange psychic events"
"3868","stiffness  hands"
"3869","trouble  walking/balance"
"3870","cramping  calf"
"3871","weakness  shoulders"
"3872","weakness  upper back"
"3873","weakness  neck"
"3874","ball   left foot   painful"
"3875","cpk mildly elevated"
"3876","statin induced myalgia"
"3877","slightly elevated cpk"
"3878","toes painful"
"3879","liver enzymes sky-high"
"3880","permanent, irreversible muscle damage"
"3881","cramps  left leg"
"3882"," feeling  right leg"
"3883","irregullar heartbeat"
"3884","sever fatigue"
"3885","face  swollen "
"3886","walk    painful    slow"
"3887","degenative muscle problem"
"3888","violent anger"
"3889","tearfulness"
"3890","easy bruising"
"3891","nosebleeds"
"3892","bruising problems"
"3893","mood problems"
"3894","language problems"
"3895","heart attackes"
"3896","flush-free niacin"
"3897","sleep disturbances"
"3898","problems  various muscles"
"3899","lots  pain   muscles"
"3900","muscles  tight"
"3901","neck stiff"
"3902","muscles  like boards   tight"
"3903","pain  gone   upper arm   left side"
"3904","pain  gone   shoulder"
"3905","right arm  tight"
"3906"," sleep  either shoulder"
"3907","lower back  also tight"
"3908","tight neck muscles"
"3909","elevated creatine"
"3910","persistent pain  knee"
"3911","persistent pain  calf"
"3912","sleep disturbance"
"3913","mood change"
"3914","debilitating muscle pains"
"3915","horrible fatigue"
"3916","tingling   legs"
"3917","stabbing pain  shoulder blades"
"3918","i  52  feel 82"
"3919","muscle tone depletion"
"3920","strength depletion"
"3921","numbness  upper legs  knee  thigh"
"3922","pain  left foot"
"3923","numbness  left foot"
"3924","left foot larger  right now  one size"
"3925","extreme depression"
"3926","suicidal thoughts"
"3927","severe plantar faciitis"
"3928","debillitating leg pain"
"3929","severe leg muscle weakness"
"3930","hand weakness (constantly dropping things)"
"3931","irrecular heartbeat"
"3932","throat tightness"
"3933","difficulty/shallow breathing"
"3934","stiffness  whole body"
"3935"," power  standup "
"3936","loss  weight"
"3937","acute weakness   muscles  whole body"
"3938","muscles  whole body dilution  size"
"3939","constipitation"
"3940"," control  urination"
"3941","loss  vocal sound"
"3942","choking  throat"
"3943","looseness   body structure"
"3944","lungs detoriation like less intake  oxigen"
"3945","burning ankles"
"3946","ball   foot  feel     inflamed"
"3947","constant pins  needles   toes"
"3948","constant pins  needles   ball   foot"
"3949"," painful pins  needles  entire foot"
"3950","foot skin flaked  like dermatitis"
"3951","ankle skin flaked  like dermatitis"
"3952","hard  pick  feet"
"3953","balance    times"
"3954","pain  muscles   upper arms"
"3955","arms feel heavy"
"3956","hands  somewhat numb"
"3957","hands  tingling"
"3958","trouble holding   things"
"3959","elevated white blood cell count ( high)"
"3960","fingers  toes  tingling"
"3961","pins  needles feeling"
"3962","tremors although  body"
"3963","tingles although  body"
"3964","deep depression"
"3965","joint stiffness  feet"
"3966","joint stiffness  hands"
"3967","inability  think clearly"
"3968","pains   body"
"3969","groggy"
"3970","extreme dehydration"
"3971","extremely dry eyes"
"3972","eyes microabrasions "
"3973","eyes   dry"
"3974","unexplained fatigue"
"3975"," energy  day"
"3976","sed rate  high"
"3977","unexplained cough"
"3978","aches  pain  head  toe"
"3979"," grouchy"
"3980","pains  bad"
"3981","toe tinglingling"
"3982","memory impaired"
"3983","vision impaired"
"3984","irreversible muscle damage"
"3985","painfull stiff joints"
"3986","pins  needles  right arm"
"3987"," lot grouchier"
"3988","atacand"
"3989","transient amnesia"
"3990","severe shoulder pain"
"3991","hard  get    am"
"3992","hard  stay awake"
"3993","crippling back pain"
"3994","degenerative back disease"
"3995","feel achy"
"3996","blury vision"
"3997","bad balance"
"3998","sore feet (faciitis)"
"3999","hair falling "
"4000","autoimmune polyarthritis"
"4001","hands sore"
"4002","joint pain (knees)"
"4003","painfull welts  bottom  feet"
"4004","mild joint pain"
"4005","permanent joint damage"
"4006","loss  speech"
"4007","seizure type symptoms"
"4008","tia's"
"4009","feeling extremely tired"
"4010","foot cramps"
"4011","legs began feeling  tired"
"4012"," go  stairs easily"
"4013","cramping events   legs"
"4014","legs  hurting  much"
"4015","legs   weak"
"4016","back spasms"
"4017","foggy thinking"
"4018","red rice"
"4019","plaque"
"4020","high plaque count"
"4021","uneasiness"
"4022","liver disease"
"4023","tingling sensation   back   neck"
"4024","legs ache"
"4025","shoulders ache"
"4026","hips ache"
"4027","acute pain   legs"
"4028","getting   bed  painful"
"4029","tingling   neck"
"4030"," smoke"
"4031","drink wine  moderation"
"4032","elevated levels  high cholesterol"
"4033","balance "
"4034","back pain lower"
"4035","back pain upper"
"4036","finger pins  needles"
"4037","brain vague"
"4038","feeling desperately miserable"
"4039","suffering"
"4040","pain  shoulders joints"
"4041","bursitus"
"4042","terrible leg cramps"
"4043","sex drive  decreased"
"4044","severe pain   calf muscles"
"4045","zochor"
"4046","pain   severe"
"4047","  even walk   morning"
"4048","tore  tendon   ankle"
"4049","tore  knee"
"4050","extreme forgetfulness"
"4051","cluster headaches"
"4052","kidney pain"
"4053","urinary problems"
"4054","urine like root beer"
"4055","inability  think fast enough"
"4056","couldn't find words"
"4057","got lost  way"
"4058","sever arthritic condition"
"4059","mild pain"
"4060","toes became  painful"
"4061","leg neuropathy"
"4062","brain cancer"
"4063","brain cancer (glial cell related cancer)"
"4064","bedridden"
"4065","unable  feed "
"4066","unable  speak"
"4067","e.d."
"4068","sleep loss"
"4069","muscles   sides   back  constantly painful"
"4070","ambien"
"4071","melatonin"
"4072","gastric upsets"
"4073","problems  feet"
"4074","tingly hands"
"4075","terrible musche aches"
"4076","face looks puffy"
"4077","eyes hurt"
"4078","swollen elbows"
"4079","stiff elbows"
"4080","stiff knees"
"4081","mental distress"
"4082","knees stiff"
"4083","knees sore"
"4084","elbows stiff"
"4085","elbows sore"
"4086","repetitive stress syndrome"
"4087","felt like  old (older) man"
"4088","swollen joints"
"4089","stiff swollen joints"
"4090","loss  sense  smell"
"4091","increase appetite"
"4092","extreme fatigued"
"4093","falls"
"4094","poor memory"
"4095","loss  fine motor skills"
"4096","frontal lobe abnormalities"
"4097","sore hip(tightit band)"
"4098","congestion"
"4099","elbows burning"
"4100","right heel pain"
"4101","congestion  clear phlem"
"4102","allergies"
"4103","elbows  burn like fire"
"4104","trouble focusing  reading"
"4105","right heel became painful"
"4106","adiabetic"
"4107","intense anxiety attacks"
"4108","intense depression"
"4109","muscle aches  legs"
"4110","felt much older  i "
"4111","blisterey rash   arms"
"4112","blisterey rash   legs"
"4113","vision became blurry"
"4114","simivastatin"
"4115","severe foot pain"
"4116","severe leg pain"
"4117","muscle cramps  legs"
"4118","muscle cramps  feet"
"4119","muscle cramps  arms"
"4120","muscle cramps  ribs"
"4121","muscle cramps  face"
"4122","severe pain muscles"
"4123","weakness  muscles"
"4124","severe pain legs"
"4125","can barely make   one flight  stairs"
"4126","torn ham string"
"4127"," hardly stand "
"4128","short term memory affected"
"4129","loss  concentration levels"
"4130","hightened anxiety levels"
"4131","generaly feeling unwell like walking   daze (zombie like)"
"4132","weakness  leg muscles"
"4133","decreased cognitive skills"
"4134","anxiety issues"
"4135","muscle wasting   shoulders"
"4136","muscle wasting   arms"
"4137","nerve problems  shoulder"
"4138"," sensative   cold"
"4139","coenzyme10"
"4140","alpha lipoic acid"
"4141","ramipril"
"4142","metoptolol"
"4143","tingling   feet"
"4144","tingling   shins"
"4145","numbness   feet"
"4146","numbness   shins"
"4147"," toes ached"
"4148"," feet hurt"
"4149","provastatin"
"4150"," even sleep  night"
"4151","sensations  tingling   legs"
"4152","sensations  tingling   feet"
"4153","pain   toes"
"4154","pain   feet"
"4155","pain   shins"
"4156","breathing difficulties"
"4157","stength  stamina destroyed"
"4158","strong tingling  one hand"
"4159","tinititis"
"4160","ear aches"
"4161","zorloft"
"4162","noten"
"4163","seriously upset  stomach"
"4164","struggling walking  far"
"4165","vitc"
"4166","cough heavily"
"4167","pain  elbows"
"4168","pain  wrist"
"4169","unable  even climb 1 flight  stairs"
"4170","uncontrollable gas"
"4171","burning   stomach"
"4172","muscule pain"
"4173","numb leg"
"4174","painful shoulder"
"4175","joint pain  wrist"
"4176","gastro effects"
"4177","elevated bp"
"4178"," heart rate jumped  106"
"4179","bp 145/95"
"4180","hard  breathe"
"4181","lungs feel heavy"
"4182","decrease  mood"
"4183","wanting  quit everything  give "
"4184","suicidality"
"4185","antibiotic"
"4186","solaraze"
"4187","altered taste"
"4188","blisters   mouth"
"4189","itchy scalp"
"4190","taken  toll   stomach"
"4191","pains back"
"4192","liver  kidneys  ok"
"4193","rise  bp"
"4194","silly"
"4195","high"
"4196","sleep aid"
"4197","positive side effect."
"4198","bloated stomach"
"4199","diarreha"
"4200","kneejoin paint"
"4201","passing massive amounts  blood"
"4202","ulcer lower bowel"
"4203","voltaren-xr"
"4204","psychosis"
"4205","bi-polar"
"4206","recurrent stomach problems"
"4207","seroquel"
"4208","mood stabilizer"
"4209","blood clots"
"4210","abdominal pressure"
"4211","prilosec"
"4212","rx"
"4213","extreme abdominal issues"
"4214","tylonol"
"4215","blood clots  traveled   eye"
"4216","blood  bowel movements"
"4217"," limber limbs  joints"
"4218","abdominal pain  nausea  vomiting  diarrhea"
"4219","stomach rough"
"4220","voltaren gel"
"4221","agitated"
"4222","insomnia / agitation"
"4223","hideously increased muscle tension"
"4224","short tempered"
"4225","agitation"
"4226","pain  hand"
"4227","spasms   back"
"4228","impatient"
"4229","allergic reaction"
"4230","benadryl"
"4231","numbness  tongue  gums"
"4232","eye problem"
"4233","voltaren rapid"
"4234","feet  turn red  purple"
"4235","didn't even decrease  pain  little bit"
"4236","make  worse"
"4237","pains   hips"
"4238","cortisone injection"
"4239","felt like removing  intestines"
"4240","ibs"
"4241","like  life  gonna slip away  die"
"4242","stomache ulcers"
"4243","asthmatic"
"4244","effectiveness   pain relief can also wear   time"
"4245","infection"
"4246","sharp pain shoulder"
"4247","acute gastritis"
"4248","intestinal pain"
"4249","diverticulitis"
"4250","blood  stool"
"4251","intestinal/stomach pain"
"4252","elevated bloodb pressure"
"4253","lips started  swell"
"4254","epipen"
"4255","skin felt like   moving"
"4256","itch   head"
"4257","genitals  lips excruciating"
"4258","wanted  vomit"
"4259","hands  hip pain"
"4260","non specific, decreased appetite?, odynophagia? dysphagia?"
"4261","upset  stomach"
"4262","diclofenac"
"4263","heart  thumping"
"4264","pain   kidney area"
"4265","stomach"
"4266","skin irritation"
"4267","volteren"
"4268","wheezing"
"4269","skin rash back   neck"
"4270","slipped vertabrae"
"4271","degenerative disk"
"4272","relafen"
"4273","vicodine"
"4274","flexeril"
"4275","chronic bone/joint pain"
"4276","tightness   throat"
"4277","tingling eyes"
"4278","wild dreams"
"4279","gurgling stomach"
"4280","high blood press"
"4281","heart stopped"
"4282","tylenol extra"
"4283","tagamet"
"4284","i  trouble standing   sitting position"
"4285","bad headache"
"4286","mild cramping"
"4287","iubrofen"
"4288","gurgling"
"4289","extreme sweating"
"4290","edema  fingers  face"
"4291","crabbiness"
"4292","timing    true period"
"4293","face  fingers  swollen"
"4294","panadeine"
"4295","ibuprofen plus"
"4296","voltaren rapid 25"
"4297","face  felt numb"
"4298","strained meniscus"
"4299","acute pancreatic attack"
"4300","critical blood levels"
"4301","body  ""shutting"" "
"4302","bp   low"
"4303","yellow color   skin"
"4304"," walk straight"
"4305","prostate infection"
"4306","pain  stomach"
"4307","urination effected"
"4308","hoarseness/coughing"
"4309","heart racing"
"4310","disoriented"
"4311","remember  entire e"
"4312","mellows  "
"4313","hurts throat"
"4314","tightness  shoulders"
"4315","zipsor"
"4316","herniated discs"
"4317","vicodin"
"4318","lupus pain"
"4319","pain   herniated discs"
"4320","disc issues"
