"","slang.V1","exp.V1"
"2083","RUOK","Are You OK?"
"2084","RUS","Are You Serious?"
"2085","RUSOS","Are You SOS (in trouble)?"
"2086","RUT","Are You There?"
"2087","RUUP4IT","Are You Up For It?"
"2088","RU\\18","Are You Under 18?"
"2089","RX","Regards"
"2090","RYFM","Read Your Friendly Manual"
"2091","RYO","Roll Your Own"
"2092","RYS","Read Your Screen"
"2093","S","Smile"
"2094","S/N","Serial Number"
"2095","S/S","Shout-out for Shout-out"
"2096","S2G","Swear to God"
"2097","S2R","Send To Receive"
"2098","S2U","Same To You"
"2099","S3<==8","screwed in the ass"
"2100","S4B","Sh** for Brains"
"2101","S4L","Spam For Life"
"2102","SADAD","Suck A Dick And Die"
"2103","SAHM","Stay At Home Mom"
"2104","SAIA","Stupid Asses In Action"
"2105","SANM","Starting A New Message"
"2106","SAPFU","Surpassing All Previous Foul Ups"
"2107","SB","Stand By"
"2108","SBI","Sorry 'Bout It"
"2109","SBTA","Sorry, Being Thick Again"
"2110","SBUG","Small Bald Unaudacious Goal"
"2111","SC","Stay Cool"
"2112","SCNR","Sorry, Could Not Resist"
"2113","SCOTUS","Supreme Court Of The United States"
"2114","SCUICHT","So Coked Up I Can Hardly Type"
"2115","SDC","Saturday (or Sunday) Drinking Club"
"2116","SDFB","Smoke Dope F*** B*tches"
"2117","SDFS","Second Day First Show"
"2118","SDK","Scottie Doesn't Know -or- Software Developer's Kit"
"2119","sec","wait a second"
"2120","SED","Said Enough Darling"
"2121","SEG","Sh** Eating Grin"
"2122","SEP","Somebody Else's Problem"
"2123","SERPT","Soul Eater Role-Playing Team"
"2124","SETE","Smiling Ear To Ear"
"2125","SEWAG","Scientifically Engineered Wild Ass Guess"
"2126","SEX","Sun Users' Group -or- ALL CAPS for sex"
"2127","SF","Surfer Friendly -or- Science Fiction"
"2128","SFAIAA","So Far As I Am Aware"
"2129","SFB","Sh** For Brains"
"2130","SFETE","Smiling From Ear To Ear"
"2131","SFLA","Stupid Four Letter Acronym"
"2132","SFP","Sorry For Partying"
"2133","SFTTM","Stop F***ing Talking To Me"
"2134","SFTW","Sorry For The Wait"
"2135","SFX","Sound Effects -or- Stage Effects"
"2136","SGTM","Sounds Good To Me"
"2137","SH","Sh** Happens"
"2138","SHB","Should Have Been"
"2139","shhh","quiet"
"2140","SHID","Slap Head In Disgust"
"2141","SHIT","Sugar Honey Ice Tea"
"2142","SHMILY","See How Much I Love You"
"2143","SHT","it means so hot"
"2144","SHTF","Sh** Hits The Fan"
"2145","SHWASLOMF","Sitting Here With A Straight Look On My Face"
"2146","SHXP","Shakespeare"
"2147","SIA","Say It Again"
"2148","SIC","Spelling Is Correct"
"2149","SICL","Sitting In Chair Laughing"
"2150","SICS","Sitting In Chair Snickering"
"2151","SII","Seriously Impaired Imagination"
"2152","SIL","Sister-In-Law"
"2153","SIN","Stop It Now"
"2154","SIP","Skiing In Powder"
"2155","SIRD","Sorry, Incorrect Recipient, Disregard"
"2156","SIT","Stay In Touch"
"2157","SITCOM","Single Income, Two Children, Oppressive Mortgage"
"2158","SITD","Still In The Dark"
"2159","SITUBI","Say It Til You Believe It"
"2160","SIUP","Suck It Up Pussy"
"2161","SIUYA","Shove It Up Your Ass"
"2162","SIY","Search Inside Yourself"
"2163","SJ","Strong Jaws"
"2164","sk8er","skater"
"2165","sk8r","skater"
"2166","Sknkr","Skincare"
"2167","SKYE","School Kills Your Entertainment"
"2168","SL","Second Life"
"2169","SLAN","it means: goodbye"
"2170","SLAP","Sounds Like A Plan -or- Speak Like A Person"
"2171","SLAW","Sounds Like A Winner"
"2172","SLIRK","Smart Little Rich Kid"
"2173","SLM","See Last Mail"
"2174","SLOM","Sticking Leeches On Myself"
"2175","SLT","Something Like That"
"2176","SM","Senior Moment"
"2177","sm1","it means someone"
"2178","SMAIM","Send Me An Instant Message"
"2179","SMAO","Sweating My Ass Off"
"2180","SMART","Self-Monitoring, Analysis and Reporting Technology"
"2181","SMB","Suck My Balls"
"2182","SMB2B","Small Business Business to Business"
"2183","SMC","Self Made Celebrate"
"2184","SMD","Suck My Dick"
"2185","SME","Subject Matter Expert"
"2186","SMEM","Send Me E-Mail"
"2187","SMH","Shaking My Head -or- So Much Hate"
"2188","SMHD","Shaking My Head in Disbelief"
"2189","SMILF","Single Mother I'd Like to Fuck"
"2190","SMIM","Send Me an Instant Message"
"2191","SMIZE","Smile With Your Eyes"
"2192","SML","Slap My Leg"
"2193","SMOP","Small Matter of Programming"
"2194","smt","something"
"2195","SN","Side Note"
"2196","SNAFU","Situation Normal, All F***ed Up"
"2197","SNAG","Sensitive New Age Guy"
"2198","SNERT","Snotty Nosed Egotistical Rotten Teenager"
"2199","SNH","Sarcasm Noted Here"
"2200","SNIF","Simple Nice Index File"
"2201","SNL","Same Night Lay"
"2202","SNNSHWRS","it means sun showers"
"2203","SNNY","it means sunny"
"2204","SO","Significant Other"
"2205","SOB","Son Of a B*tch"
"2206","SOBT","Stressed Out Big Time"
"2207","SODDI","Some Other Dude Did It"
"2208","SOE","Start Of Exams"
"2209","SOGOP","Sh** Or Get Off the Pot"
"2210","SOH","Sense Of Humor"
"2211","SOHF","Sense Of Humor Failure"
"2212","SOHO","Small Office Home Office"
"2213","SOI","Self Owning Idiot"
"2214","SOIAR","Sit On It And Rotate"
"2215","SoIC","So I See"
"2216","sok","it's ok"
"2217","SOL","Sh** Out of Luck -or- Sooner Or Later"
"2218","solomo","Social, Local, Mobile"
"2219","some1","someone"
"2220","SOMF","Sit On My Face"
"2221","SOMY","Sick Of Me Yet"
"2222","SOOYA","Snake Out Of Your Ass"
"2223","SOP","Standard Operating Procedure"
"2224","SorG","Straight or Gay"
"2225","SOS","Same Old Sh** -or- help"
"2226","SOSAD","Same Old Song And Dance"
"2227","SOSC","Someone Snapchat"
"2228","SOT","Short On Time"
"2229","SOTMG","Short On Time, Must Go"
"2230","SOW","Speaking Of Which -or- Statement Of Work"
"2231","soz","Sorry"
"2232","SPAT","Some People Are Trains"
"2233","SPEET","SPam Tweet"
"2234","spk","it means speak"
"2235","SPOC","Single Point Of Contact"
"2236","SRLB","Spoiled Rotten Little Brat"
"2237","SRO","Standing Room Only"
"2238","SROI","Social Return On Investment"
"2239","srsly","seriously"
"2240","sry","it means sorry"
"2241","SSA","Ass Backwards"
"2242","SSC","Super Sexy Cute"
"2243","SSDD","Same Sh** Different Day"
"2244","SSEWBA","Someday Soon, Everything Will Be Acronyms"
"2245","SSIA","Subject Says It All"
"2246","STA","Short Term Attitude"
"2247","STARS","Sorry, Thank you, Action, Recover, Share"
"2248","STBH","Short To Be Honest"
"2249","STBX","Soon To Be Ex"
"2250","STBY","Sucks To Be You"
"2251","STD","Seal The Deal, Save The Date, Sexually Transmitted Disease, Stuff To Do"
"2252","STEM","Science, Technology, Engineering, Math"
"2253","STFU","Shut The F*** Up"
"2254","STFW","Search The F***ing Web"
"2255","STG","Swear To God"
"2256","sth","something"
"2257","STHU","Shut The Hell Up"
"2258","STM","Spank The Monkey"
"2259","STML","Short Term Memory Loss"
"2260","STOW","Some Type Of Way"
"2261","STPPYNOZGTW","Stop Picking Your Nose, Get To Work"
"2262","STR8","Straight"
"2263","STS","So To Speak"
"2264","STST","Sweet Tea SweeTie"
"2265","STW","Search The Web"
"2266","STYS","Speak To You Soon"
"2267","SU","Shut Up"
"2268","SUAC","Sh** Up A Creek"
"2269","SUAKM","Shut Up And Kiss Me"
"2270","SUB","Shut Up Bitch"
"2271","SUFI","Super Finger -or- Shut Up F***ing Imbecile"
"2272","SUFID","Screwing Up Face In Disgust"
"2273","SUL","Snooze You Lose"
"2274","sup","what's up?"
"2275","sux","sucks"
"2276","SUYF","Shut Up You Fool"
"2277","SWAG","Scientific Wild Ass Guess, SoftWare And Giveaways, Stuff We All Get"
"2278","SWAK","Sealed (or Sent) With A Kiss"
"2279","SWALBCAKWS","Sealed With A Lick Because A Kiss Won't Stick"
"2280","SWALK","Sealed With A Loving Kiss"
"2281","SWDYT","So What Do You Think?"
"2282","sweet<3","sweetheart"
"2283","SWF","Single White Female"
"2284","SWIM","See What I Mean?"
"2285","SWIS","See What I'm Saying"
"2286","SWIT","Sit and Sweat"
"2287","SWL","Screaming With Laughter"
"2288","SWMBO","She Who Must Be Obeyed"
"2289","SWOT","Strengths, Weaknesses, Opportunities, Threats"
"2290","SWU","So What's Up"
"2291","SWYP","So What’s Your Problem?"
"2292","SxE","Straight Edge"
"2293","SYK","So You Know"
"2294","SYL","See You Later"
"2295","SYS","See You Soon"
"2296","SYT","See You Tomorrow"
"2297","s^","what's up?"
"2298","T&C","Terms & Conditions"
"2299","t+","it means think positive"
"2300","t2go","Time to Go"
"2301","T2UL","Talk To You Later"
"2302","T2UT","Talk To You Tomorrow"
"2303","T4P","Thanks For Posting"
"2304","T@YL","Talk At You Later"
"2305","TA","Thanks Again"
"2306","TABOM","That's A Bunch Of Malarkey"
"2307","TABOOMA","Take A Bite Out Of My Ass"
"2308","TAF","That's All, Folks"
"2309","TAFN","That's All For Now"
"2310","TAH","Take A Hike"
"2311","TAHITMOTS","There's A Hole In The Middle Of The Sea"
"2312","TAKS","That's A Knee Slapper"
"2313","TAM","Thanks A Million"
"2314","TANJ","There Ain't No Justice"
"2315","TANSIT","There's A New Sheriff In Town"
"2316","TANSTAAFL","There Ain't No Such Thing As A Free Lunch"
"2317","TAP","Take A Pill"
"2318","TARFU","Things Are Really F***ed Up"
"2319","TAS","Taking A Shower"
"2320","TAW","Teachers Are Watching"
"2321","TAYN","Thinking About You Now"
"2322","TB","Titty Bar"
"2323","TBA","To Be Announced -or- To Be Advised"
"2324","TBC","To Be Continued"
"2325","TBD","To Be Determined -or- To Be Decided"
"2326","TBE","Thick Between Ears"
"2327","TBH","To Be Honest"
"2328","TBIU","The Bitch Is Ugly"
"2329","TBT","Throwback Thursday"
"2330","TBU","Thinking 'Bout You"
"2331","TBYB","Try Before You Buy"
"2332","TC","Take Care -or- Twitter Crush"
"2333","TCB","Trouble Came Back -or- Taking Care of Business"
"2334","TCFHOG","Too Cute For His Own Good"
"2335","TCK","Third Culture Kid"
"2336","TCOB","Taking Care Of Business"
"2337","TCOY","Take Care Of Yourself"
"2338","TD&H","Tall, Dark and Handsome"
"2339","TDM","Too Darn Many"
"2340","TDTM","Talk Dirty To Me -or- Text Dirty To Me"
"2341","TEOG","The Edge Of Glory"
"2342","TEOTWAWKI","The End Of The World As We Know It"
"2343","TF","Too Funny -or- The F***? as in WTF"
"2344","TFA","Twenty Fifth Amendment"
"2345","TFDS","That's For Darn Sure"
"2346","TFF","Twitter Follower Friend"
"2347","TFH","Thread From Hell"
"2348","TFLMS","Thanks For Letting Me Share"
"2349","TFM","Thanks From Me"
"2350","TFMIU","The F***ing Manual Is Unreadable"
"2351","TFN","Thanks For Nothing -or- Til Further Notice"
"2352","TFS","Thanks For Sharing -or- Three Finger Salute"
"2353","TFTC","Thanks For The Cache"
"2354","TFTHAOT","Thanks For The Help Ahead Of Time"
"2355","TFTT","Thanks For The Thought"
"2356","TFTU","Thanks For The Update"
"2357","TFW","That Feeling When"
"2358","TFX","Traffic"
"2359","TFYS","The F*** You Say"
"2360","TG4A","Thank God For Acronyms"
"2361","TGAL","Think Globally, Act Locally"
"2362","TGFAD","Thank God for Another Day"
"2363","TGGTG","That Girl/Guy has Got To Go"
"2364","TGIC","This Girl Is Crazy"
"2365","TGIF","Thank God It's Friday"
"2366","TGIM","Thank God It's Monday"
"2367","TGTSIO","Thank God The Sun Is Out"
"2368","THOT","That Ho Over There"
"2369","THX or TX or THKS","Thanks"
"2370","TIA","Thanks In Advance"
"2371","TIAIL","Think I Am In Love"
"2372","TIC","Tongue In Cheek"
"2373","TIGAS","Think I Give A Sh**"
"2374","TIL","Today I Learned"
"2375","TILF","Teacher I'd Like to F***"
"2376","TILII","Tell It Like It Is"
"2377","TIME","Tears In My Eyes"
"2378","TIMITI","Try It Measure It Tweak It"
"2379","TINGLE","it means: Taken & Single"
"2380","TINGTES","There Is No Gravity, The Earth Sucks"
"2381","TINWIS","That Is Not What I Said"
"2382","TISC","This Is So Cool"
"2383","TISL","This Is So Lame"
"2384","TISNC","This Is So Not Cool"
"2385","TISNF","That Is So Not Fair"
"2386","TISNT","That Is So Not True"
"2387","TJBNJ","This Job Beats No Job"
"2388","TK","To Come"
"2389","TKO","Technical Knock Out"
"2390","TKU4UK","Thank You For Your Kindness"
"2391","TL;DR","Too Long; Didn't Read"
"2392","TLA","Three Letter Acronym"
"2393","TLC","Tender Loving Care"
"2394","TLGO","The List Goes On"
"2395","TLITBC","That's Life In The Big City"
"2396","TLK2UL8R","Talk To You Later"
"2397","TLTR","Too Long To Read"
"2398","TM","Trust Me"
"2399","TMA","Too Many Acronyms"
"2400","TMALSS","To Make A Long Story Short"
"2401","TMB","Tweet Me Back"
"2402","TMI","Too Much Information"
"2403","TMSAISTI","That's My Story And I'm Sticking To It"
"2404","TMSGO","Too Much Sh** Going On"
"2405","TMTOWTDI","There's More Than One Way To Do It"
"2406","TMTT","Too Much To Type"
"2407","TNA","Temporarily Not Available"
"2408","TNC","Tongue In Cheek"
"2409","TNLN","Took Nothing, Left Nothing"
"2410","TNO","Tell No One"
"2411","TNT","Til Next Time"
"2412","TNTL","Trying Not To Laugh"
"2413","TNX","Thanks"
"2414","to go nookleer","to explode"
"2415","TOBAL","There Oughta Be A Law"
"2416","TOBG","This Oughta Be Good"
"2417","TOM","Tomorrow"
"2418","TOMTB","Taking Off My Training Bra"
"2419","TOON","short for cartoon"
"2420","TOPCA","Til Our Paths Cross Again"
"2421","TOT","Tons Of Time"
"2422","TOY","Thinking Of You"
"2423","TP","Team Player -or- TelePort -or- Thanks Pal -or- Toilet Paper"
"2424","TPC","The Phone Company"
"2425","TPIYP","To Put In Your Prayers"
"2426","TPS","That's Pretty Stupid"
"2427","TPT","Trailor Park Trash"
"2428","TPTB","The Powers That Be"
"2429","TQM","Total Quality Management"
"2430","TQRT","Thanks for the ReTweet"
"2431","TRAM","The Rest Are Mine"
"2432","TRDMC","Tears Running Down My Cheeks"
"2433","tripdub","it means www"
"2434","TRNDO","it means tornado"
"2435","troo","true"
"2436","TRP","Television Rating Points"
"2437","TS","Tough Sh** -or- Totally Stinks"
"2438","TSB","Tall, Sexy, Beautiful"
"2439","TSH","Too Stinkin' Hot"
"2440","TSIA","This Says It All"
"2441","TSIF","Thank Science It's Friday"
"2442","TSNF","That's So Not Fair"
"2443","TSOB","Tough Son Of a B*tch"
"2444","TSR","Totally Stuck in RAM -or- Totally Stupid Rules"
"2445","TSRA","Two Shakes of a Rat's Ass"
"2446","TSTB","The Sooner, The Better"
"2447","TSTL","To Stupid To Live"
"2448","TT","Big Tease"
"2449","TTA","Tap That Ass"
"2450","TTBOMK","To The Best Of My Knowledge"
"2451","TTFN","Ta Ta For Now"
"2452","TTG","Time to Go"
"2453","TTIOT","The Truth Is Out There"
"2454","TTKSF","Trying To Keep a Straight Face"
"2455","TTMF","Ta Ta MOFO"
"2456","TTS","Text To Speech"
"2457","TTT","That's The Ticket -or- To The Top -or- Thought That Too"
"2458","TTTH","Talk To The Hand"
"2459","TTTHTFAL","Talk To The Hand The Face Ain't Listening"
"2460","TTTKA","Time To Totally Kick Ass"
"2461","TTTT","To Tell The Truth"
"2462","TTUL","Talk To You Later"
"2463","TTYAWFN","Talk To You A While From Now"
"2464","TTYIAF","Talk/Type To You In A Few"
"2465","TTYL","Talk To You Later -or- Type To You Later"
"2466","TTYL8R","Talk To You Later"
"2467","TTYLXOXO","Talk To You Later, Hugs and Kisses"
"2468","TTYOB","Tend To Your Own Business"
"2469","TTYS","Talk To You Soon"
"2470","TTYT","Talk To You Tomorrow"
"2471","TU","Toes Up (as in dead)"
"2472","TVM4YEM","Thank You Very Much For Your E-Mail"
"2473","TW","Tweet"
"2474","TWARS","Twitter Wars"
"2475","TWD","Texting While Driving"
"2476","TWHAB","This Won't Hurt A Bit"
"2477","TWHE","The Walls Have Ears"
"2478","TWIMC","To Whom It May Concern"
"2479","TWIT","That's What I Thought"
"2480","TWITA","That's What I'm Talking About"
"2481","TWIWI","That Was Interesting, Wasn't It?"
"2482","TWSS","That's What She Said"
"2483","TWTR","Twitter"
"2484","TWU","That's What's Up"
"2485","TXS","Thanks"
"2486","TXT","Text"
"2487","TXT IM","Text Instant Message"
"2488","TXT MSG","text message"
"2489","TY","Thank You"
"2490","TYCLO","Turn Your CAPS LOCK Off"
"2491","TYFF","Thank You For Following"
"2492","TYG","There You Go -or- Thank You God"
"2493","TYL","Text You Later -or- Thank You Lord"
"2494","TYVM","Thank You Very Much"
"2495","u","You"
"2496","u up","are you up?"
"2497","U-L","You Will"
"2498","U2","You Too"
"2499","u4e","Yours ForEver"
"2500","u8","you ate?"
"2501","UAYA","Use As You Are"
"2502","UBS","Unique Buying State"
"2503","UCWAP","Up a Creek Without A Paddle"
"2504","UDH82BME","You'd Hate To Be Me"
"2505","UDK","You Don't Know"
"2506","UDM","You're the Man"
"2507","UFN","Until Further Notice"
"2508","UFUF","You F***, You Fix"
"2509","UG2BK","You've Got To Be Kidding"
"2510","UGC","User-Generated Content"
"2511","UGFSU","Your Girlfriend's Ugly"
"2512","UGTR","You Got That Right"
"2513","UMK","You Must Know"
"2514","UNF","Universal Noise of Fucking"
"2515","UNOIT","You Know It"
"2516","unPC","unPolitically Correct"
"2517","UNT","Until Next Time"
"2518","UNTCO","You Need To Chill Out"
"2519","UOK","Are You OK?"
"2520","UPOD","Under Promise Over Deliver"
"2521","ur","you are"
"2522","UR2K","You Are Too Kind"
"2523","URAPITA","You Are A Pain In The Ass"
"2524","URSAI","You Are Such An Idiot"
"2525","URW","You Are Welcome"
"2526","URWS","You Are Wise"
"2527","URYY4M","You Are Too Wise For Me"
"2528","URZ","yours"
"2529","USC","Up Sh** Creek"
"2530","USCWAP","Up Sh** Creek Without A Paddle"
"2531","USP","Unique Selling Proposition"
"2532","UTM","You Tell Me"
"2533","UV","Unpleasant Visual"
"2534","UWIWU","You Wish I Was You"
"2535","UWM","You Want Me"
"2536","UX","User eXperience, a.k.a. UE"
"2537","V","Very"
"2538","VBD","Very Big Deal"
"2539","VBG","Very Big Grin"
"2540","VBMG","Very Big Mischievous Grin"
"2541","VBS","Very Big Smile"
"2542","VC","Venture Capital"
"2543","VCDA","Vaya Con Dios, Amigo"
"2544","VEG","Very Evil Grin"
"2545","VFM","Value For Money"
"2546","VGN","Vegan -or- Vegetarian"
"2547","VIM","Very Important Member"
"2548","VIP","Very Important Person"
"2549","VIV","Very Important Visitor"
"2550","VM","Voice Mail"
"2551","VMA","Very Much Alive"
"2552","VOD","Video On Demand"
"2553","VRBS","Virtual Reality Bull Sh**"
"2554","VSF","Very Sad Face"
"2555","VVS","Vertical Video Syndrome"
"2556","VWD","Very Well Done"
"2557","VWP","Very Well Played"
"2558","W","With -or- Working"
"2559","w wult","what would you like to talk about"
"2560","w's^","what's up?"
"2561","W/","With"
"2562","W/E","Weekend"
"2563","W/O","Without"
"2564","w/r/t","with regard to"
"2565","w00t","We Own the Other Team"
"2566","w4m","women for men"
"2567","W8","Wait"
"2568","W9","Wife in room"
"2569","W@","What?"
"2570","WABI","What A Bright Idea"
"2571","WABOC","What A Bunch Of Crap"
"2572","WABOM","What A Bunch Of Malarkey"
"2573","WACI","What A Cool Idea"
"2574","WAD","Without A Doubt"
"2575","WADI","What A Dumb Idea"
"2576","WADR","With All Due Respect"
"2577","WAEF","When All Else Fails"
"2578","WAFB","What A F***ing Bitch"
"2579","WAFM","What A F***ing Mess"
"2580","WAFS","Warm And Fuzzies"
"2581","WAFU","What A F*** Up"
"2582","WAG","Wild Ass Guess -or- Wives And Girlfriends"
"2583","WAGS","Wives And Girlfriends of Sports stars"
"2584","WAI","What An Idiot"
"2585","WAK","What A Kiss"
"2586","WAMBAM","Web Application Meets Brick And Mortar"
"2587","wan2","it means want to"
"2588","WAS","What A Slut"
"2589","WATI","What A Terrible Idea"
"2590","WATN","Where Are They Now"
"2591","WAW","Waiter/Actor/Webmaster -or- What A Whore"
"2592","WAWI","What A Wonderful Idea"
"2593","WAY","Where Are You?"
"2594","WAYD","What Are You Doing?"
"2595","WAYN","Where Are You Now?"
"2596","WB","Welcome Back -or- Write Back"
"2597","WBOS","We Build Our Society"
"2598","WBS","Write Back Soon"
"2599","WBU","What 'Bout You?"
"2600","WC","Who Cares -or- Water Closet"
"2601","WCA","Who Cares Anyway"
"2602","wckd","it means wicked"
"2603","WCMTSU","We Can't Make This Sh** Up"
"2604","WCW","Woman Crush Wednesday"
"2605","WD","Well Done"
"2606","WDALYIC","Who Died And Left You In Charge?"
"2607","WDDD","Woopie Doo Da Dey"
"2608","WDILY","Why Do I Love You?"
"2609","WDR","With Due Respect"
"2610","WDT","Who Does That?"
"2611","WDYM","What Do You Mean?"
"2612","WDYMBT","What Do You Mean By That?"
"2613","WDYS","What Did You Say?"
"2614","WDYT","What Do You Think?"
"2615","WE","Whatever"
"2616","WEG","Wicked Evil Grin"
"2617","wenja","it means when do you"
"2618","werja","it means where do you"
"2619","werru","it means where are you"
"2620","werubn","it means where have you been"
"2621","WETSU","We Eat This Sh** Up"
"2622","WF","Way Fun"
"2623","WFM","Works For Me"
"2624","WG","Wicked Grin"
"2625","WGAFF","Who Gives A Flying F***"
"2626","WGMGD","What Get's Measured Get's Done"
"2627","WHYDTM","What Have You Done To Me?"
"2628","WIBAMU","Well, I'll Be A Monkey's Uncle"
"2629","WIBNI","Wouldn't It Be Nice If"
"2630","WIIFM","What's In It For Me"
"2631","WIIFY","What's In It For You"
"2632","WIIWII","Well It Is What It Is"
"2633","WILB","Workplace Internet Leisure Browsing"
"2634","WILCO","Will Comply"
"2635","WIM","Woe Is Me"
"2636","WIP","Work In Process"
"2637","wirld","world"
"2638","WISP","Winning Is So Pleasureable"
"2639","WIT","Wordsmith In Training"
"2640","WITFITS","What In The F*** Is This Sh**"
"2641","WITW","What In The World"
"2642","WIU","Wrap It Up"
"2643","wk","it means week"
"2644","wkewl","way cool"
"2645","wknd","it means weekend"
"2646","WKYP","Will Keep You Posted"
"2647","WLMIRL","Would Like to Meet In Real Life"
"2648","WLU","Wicked, Love You"
"2649","WLU2","Wicked, Love You Too"
"2650","WMBY","What Makes You Beautiful"
"2651","WMHGB","Where Many Have Gone Before"
"2652","WMMOWS","Wash My Mouth Out With Soap"
"2653","WMPL","Wet My Pants Laughing"
"2654","WNDY","it means windy"
"2655","WNOHGB","Where No One Has Gone Before"
"2656","WOA","Work Of Art"
"2657","WOG","Wise Old Guy"
"2658","WOM","Word Of Mouth -or- Word Of Mouse"
"2659","WOMBAT","Waste Of Money, Brains And Time"
"2660","WoMoBiJo","Working Mother with a Big Job"
"2661","WOMW","Watch On My Wrist"
"2662","WOOF","Well Off Older Folks"
"2663","woot","We Own the Other Team"
"2664","WOP","With Out Papers"
"2665","word","it means cool, a.k.a. word up"
"2666","WOT","Waste Of Time or- it means what"
"2667","WOTAM","Waste Of Time And Money"
"2668","WOTD","Word Of The Day"
"2669","WP","Well Played"
"2670","WRM","it means warm"
"2671","WRT","With Regard To -or- With Respect To"
"2672","wru","where are you?"
"2673","WRUD","What Are You Doing?"
"2674","WRUDATM","What Are You Doing At The Moment?"
"2675","WSU","What Say You?"
"2676","WT","Without Thinking -or- What The -or- Who The"
"2677","WTAS","Wanna Take A Shower?"
"2678","WTB","Want To Buy -or- What To Buy"
"2679","WTDB","What's The Difference Between"
"2680","WTF","What The F***"
"2681","WTFDYJS","What The F*** Did You Just Say?"
"2682","WTFGDA","Way To F***ing Go, Dumb Ass"
"2683","WTFH","What The F***ing Hell"
"2684","WTFWYCM","Why The F*** Would You Call Me?"
"2685","WTFYTT","Who The F*** You Talking To"
"2686","WTG","Way To Go"
"2687","WTG4a\\%/","Want To Go For A Drink"
"2688","WTGP","Want To Go Private?"
"2689","WTH","What The Heck"
"2690","WTHIN","What The Hell Is Next"
"2691","WTHOW","White Trash Headline Of the Week"
"2692","WTMC","What The Mother C***"
"2693","WTMI","Way Too Much Information"
"2694","WTN","What Then Now? -or- Who Then Now?"
"2695","WTS","Want To Sell"
"2696","WTSDS","Where The Sun Don't Shine"
"2697","WTSHTF","When The Sh** Hits The Fan"
"2698","WTTM","Without Thinking Too Much"
"2699","WTTP","Want To Trade Pictures?"
"2700","WTWT","What to Watch Tonight"
"2701","WU","What's Up"
"2702","WUBB","What's Up Baby Boy"
"2703","WUBG","What's Up Baby Girl"
"2704","WUD","What You Doing?"
"2705","WUF","Where You From"
"2706","WUT","Wonderful Useless Turd"
"2707","WUWH","Wish You Were Here"
"2708","WUWHIMA","Wish You Were Here In My Arms"
"2709","wuz","was"
"2710","wuz4dina","What's for dinner?"
"2711","wuzup","what's up?"
"2712","WWBA","What Would Be Accurate"
"2713","WWD","What Went Down"
"2714","WWG1WGA","Where We Go 1 We Go All"
"2715","WWJD","What Would Jesus Do?"
"2716","WWNO","Walker Wheels Need Oil"
"2717","WWSD","What Would Satan Do?"
"2718","WWTT","World Wide Trending Topic -or- World Wide Twitter Trend"
"2719","WWW","World Wide Web -or- World Wide Wait -or- What Went Wrong"
"2720","WWY","Where Were You?"
"2721","WX","Weather"
"2722","WYCM","Will You Call Me?"
"2723","WYD","What You Doing?"
"2724","WYFM","Would You F*** Me?"
"2725","WYGISWYPF","What You Get Is What You Pay For"
"2726","WYM","What do You Mean?"
"2727","wymyn","women"
"2728","WYP","What's Your Problem?"
"2729","WYRN","What's Your Real Name?"
"2730","WYS","Whatever You Say"
"2731","WYSILOB","What You See Is A Load of Bullocks"
"2732","WYSIWYG","What You See Is What You Get"
"2733","WYSLPG","What You See Looks Pretty Good"
"2734","WYT","Whatever You Think"
"2735","WYTB","Wish You The Best"
"2736","WYW","Wish You Well"
"2737","WYWH","Wish You Were Here"
"2738","X","it means times"
"2739","X-I-10","Exciting"
"2740","X.X","it means: exasperated"
"2741","XAXA","Ha Ha"
"2742","XB","XBox"
"2743","XBF","Ex-Boyfriend"
"2744","XC","Cross Country"
"2745","XL","Extra Large"
"2746","XLNT","Excellent"
"2747","XME","Excuse Me"
"2748","XOXO","Hugs and Kisses"
"2749","XOXOZZZ","Hugs and Kisses and Sweet Dreams"
"2750","XQZT","Exquisite"
"2751","XTC","Ecstasy"
"2752","XXCC","Kiss, Kiss, Hug, Hug"
"2753","Y","Why? -or- Yes"
"2754","YA","Yet Another -or- You -or- Your"
"2755","YA yaya","Yet Another Ya-Ya (as in yo-yo)"
"2756","YABA","Yet Another Bloody Acronym"
"2757","YACC","Yet Another Calendar Company"
"2758","YAF","Young Angry Female"
"2759","YAFIYGI","You Asked For It You Got It"
"2760","YAHOO","You Always Have Other Options"
"2761","YAJWD","You Ain't Just Whistling Dixie"
"2762","YAOTM","Yet Another Off Topic Message"
"2763","YARBWYR","You're A Right Bleed'n Wanker You Are"
"2764","YATFM","You Are Too F***ing Much"
"2765","YATI","You're A Total Idiot"
"2766","YAUN","Yet Another Unix Nerd"
"2767","YB","You B*tch"
"2768","YBF","You've Been F***ed"
"2769","YBS","You'll Be Sorry"
"2770","YBY","Yeah Baby Yeah"
"2771","YBYSA","You Bet Your Sweet Ass"
"2772","YCMTSU","You Can't Make This Sh** Up"
"2773","YCMU","You Crack Me Up"
"2774","YCT","Your Comment To"
"2775","YDKM","You Don't Know Me"
"2776","YEPPIES","Young Experimenting Perfection Seekers"
"2777","YF","Wife"
"2778","YGBK","You Gotta Be Kidding"
"2779","YGBSM","You Gotta Be Sh**ing Me"
"2780","YGLT","You're Gonna Love This"
"2781","YGM","You've Got Mail"
"2782","YGTBK","You've Got To Be Kidding"
"2783","YGTI","You Get The Idea"
"2784","YGWYPF","You Get What You Pay For"
"2785","YHM","You Have Mail"
